Title,default,default_short,stability,technical
Abbot,"This figure appears as a religious man, adorned in a simple, floor-length robe that's tied at the waist with a rope. His head is either shaved or covered with a hood, and he often carries a staff or a book. His demeanor is serene, and he exudes an aura of wisdom and tranquility.","The object is a middle-aged man dressed in a long, loose, brown robe tied with a rope belt, his head covered with a matching hood. He carries a simple wooden staff and has a peaceful, serene expression.","An Abbot is a humanoid figure dressed in a religious robe, typically in shades of brown or grey. The character carries a religious text in one hand and a staff in the other. Facial features include a long beard and a peaceful, wise expression.","The object is a humanoid figure, standing upright, depicted in a monochromatic palette, specifically in white. It features a bald head and is dressed in a simple, long robe that reaches down to its feet. The figure's arms are either hidden within the robe or resting by its sides."
Acolyte,"This entity appears as a humanoid figure, typically draped in religious robes that vary in color. They often carry a staff or other symbolic item, and a holy symbol can usually be seen hanging around their neck. Their demeanor is one of devout concentration, often seen in prayer or deep thought.","This object appears as a humanoid figure, often clad in religious attire such as robes, with a holy symbol around its neck. It carries a staff or a book, suggesting a role of spiritual guidance or leadership.","An Acolyte from NetHack is a humanoid figure, typically depicted in simple, monastic robes of muted colors like brown or gray. They often carry a staff or a book, symbolizing their scholarly and religious roles. Their overall appearance should convey a sense of humility and devotion.","The object appears as a humanoid figure, standing upright with discernible head, torso, and limbs. It is entirely monochrome, rendered in a single shade of white against the game's black background. It has no distinguishing features or accessories, presenting a simplistic, almost stick-figure-like representation of a human."
Hunter,"This character appears as a rugged figure, often portrayed with a longbow and a quiver full of arrows slung over their shoulder. They wear sturdy boots, a cloak, and a wide-brimmed hat, typical of outdoor attire. Their eyes hold a sharp, focused look, indicating their readiness and alertness for the hunt.","The object is a long, slender projectile weapon with a sharp pointed tip at one end and feathers at the other, typically made from wood or metal. It is often paired with a bow for shooting.","A hunter in NetHack is typically depicted as a human figure, wielding a bow and arrow. The character is often dressed in green and brown tones, symbolizing camouflage in the wilderness. Defining characteristics include a quiver of arrows on the back, a cap or hood, and sometimes a cloak.","The object appears as a humanoid figure, rendered in ASCII art, typically represented by the ""@"" symbol. Its colour is not specified in the game, leaving it up to the player's imagination or the default colour settings of the terminal. Its shape is not detailed beyond the symbol, leaving no distinguishing features or accessories."
Thug,"A burly figure stands before you, clad in ragged clothing that barely conceals the muscular frame beneath. His face is obscured by a low slung hat, with a pair of cold, menacing eyes peering out from under the brim. In his hands, he tightly grips a crude but effective-looking weapon, ready for conflict.","A menacing figure clad in dark, shabby clothing, with a hardened face partially obscured by a low-brimmed hat. He carries a makeshift weapon, like a club or knife, and has a hunched posture that suggests readiness for a fight.","A Thug from NetHack is a humanoid figure with a menacing stance. It is typically depicted in various shades of grey, with a black bandana covering the lower half of its face and holding a blunt weapon, like a club or a bat. Its attire consists of a plain shirt, pants, and boots.","The object appears as a small, humanoid figure with a rough, blocky shape due to the pixelated graphics. It is primarily coloured in shades of grey and black, signifying a rough, ragged appearance. The object has no distinct features or accessories, presenting a generic, unadorned representation."
Ninja,"Cloaked in a black, form-fitting suit, this figure is nearly invisible in the shadows. Their face is obscured by a mask, leaving only their intense eyes visible. They are armed with a sharp, gleaming katana and a set of deadly shuriken.","This figure is clad in a black suit, covering everything but their eyes, and wields a sharp, straight-edged sword. They move with a swift, stealthy agility, almost blending into the shadows.","A humanoid figure dressed in a black suit, covered from head to toe, revealing only the eyes. The figure is in a stealthy pose, holding a sharp, silver shuriken in one hand and a katana in the other. The background is a dimly lit dungeon, hinting at the game's setting.","The object is humanoid in shape, standing upright with two arms and two legs. It is entirely black, representing the traditional garb of a ninja. It has no additional items or accessories, and its features are not distinguishable due to the lack of detail."
Roshi,"This object is a traditional Japanese robe, typically a shade of dark brown or black. It has wide sleeves and a loose fit, tied at the waist with a simple sash. The robe gives off an aura of serenity and wisdom, hinting at its association with a spiritual or philosophical figure.","This object is a long, thin staff made of polished wood, topped with a small, round crystal. It has intricate carvings along its length, depicting ancient symbols and characters.","The Roshi object is a circular amulet with a bright yellow color, resembling a golden sun. It has intricate, symmetrical designs etched into its surface, including a small, centered eye. It emanates a faint, mystical glow.","The object is a small, round, and flat item, similar in appearance to a traditional Asian straw hat. It is primarily beige in colour, with the edges slightly darker, suggesting a woven texture. It does not have any additional adornments or carry anything."
Guide,"A weathered, elderly figure, draped in a flowing robe with a high collar, clutches a staff topped with a glowing orb. Their eyes are obscured by a wide-brimmed hat adorned with mystical symbols. They carry a large, ancient book filled with maps and cryptic writings.","A figure clad in a simple, earth-toned robe holds a tall, wooden staff in one hand and an open, weathered book in the other. The individual's face is obscured by a low-hanging hood, adding an air of mystery to their overall appearance.","A Guide from NetHack is a humanoid figure, standing upright with a slightly hunched posture. It is wearing a dark brown robe with a hood, holding a bright, glowing lantern in one hand and a long, sturdy walking stick in the other. The Guide's face is obscured by the shadow of the hood, creating an aura of mystery.","This object appears as a small, rectangular shape with a symmetrical design, resembling a book. It is primarily white in colour, suggesting the presence of blank pages. There are no additional items or symbols indicating that it is carrying anything."
Warrior,"Clad in rugged armor, this imposing figure wields a gleaming sword in one hand and a sturdy shield in the other. A battle-worn helmet sits atop his head, obscuring most of his face save for a pair of steely eyes. His muscular build and stern posture exude an aura of unyielding strength and resilience.","Clad in heavy, metallic armor, the figure stands tall, wielding a sharp, double-edged sword. A sturdy helmet conceals their face, while a large shield is strapped to their arm, ready for combat.","A warrior from the game NetHack is a muscular, humanoid figure clad in metallic armor, carrying a sword and a shield. The armor is a blend of silver and grey, with the sword and shield matching. The warrior's face is partially obscured by a helmet, leaving only the eyes visible, which glow with a determined, fiery intensity.","The object appears as a humanoid figure, standing upright with a muscular build, often represented in a monochromatic scheme of white or grey ASCII characters. It features a distinctively broad-shouldered silhouette, complete with a rectangular torso and two vertical lines to denote legs. No weapons or accessories are visible on its form, suggesting it is not carrying anything."
Apprentice,"A novice in a specific craft, this figure is typically garbed in simple, unadorned clothing, reflecting their inexperience. They often carry basic tools relevant to their chosen field, such as a broom for a cleaner's apprentice or a small hammer for a blacksmith's apprentice. Their youthful features, eager expression, and awkward handling of their tools further underline their lack of expertise.","This object is a small, cylindrical piece of metal with a pointed end and a flat, circular base. It has a smooth, polished surface and is typically depicted in a bright, metallic color.","A humanoid figure in medieval apprentice attire, predominantly in shades of blue and grey. The apprentice should be holding a magic wand or a book, symbolizing learning. The figure should have a youthful appearance, hinting at their novice status in the game.","This object appears as a small, humanoid figure, rendered in simplistic pixel art. Its colouring is monochrome, alternating between black and white for contrast and depth. It is unadorned, without any carried items or additional details beyond its basic form."
Invisible monster,"This entity is a paradox, for it is entirely undetectable to the naked eye, leaving no trace of its presence or form. Its shape, size, and features remain a mystery, hidden behind a veil of absolute invisibility. All that may suggest its existence is the slight distortion of light or the subtle manipulation of its surroundings.","This entity is impossible to visually perceive as it lacks any physical form or color, making it blend perfectly with its surroundings. Its presence can only be inferred through its interactions with the environment.","An ethereal, transparent creature with a vague humanoid form, revealing only faint distortions in the air. The monster should have menacing aura and give off a chilling vibe. The surrounding environment should subtly reflect its presence.","The object is not visible to the naked eye, therefore it does not have discernible shape, size, or colour. Its presence can only be inferred by its interaction with the environment. It carries no items or accessories."
Strange object,"This item appears as an irregularly shaped stone, smooth to the touch and cool against the skin, with an array of colors swirling beneath its surface. It is roughly the size of a human fist and has an unusual weight, feeling heavier than it appears. When observed closely, faint symbols or glyphs can be seen embedded within the stone, their meaning elusive.","This object is a small, irregularly shaped item with a rough surface, appearing to be made of an unknown, possibly extraterrestrial material. It has a peculiar, shifting color scheme that defies identification, making it seem otherworldly and enigmatic.","A Strange object from NetHack is a small, rectangular item with sharp edges and corners. It is primarily a dark grey color, giving it a metallic appearance. It has various arcane symbols etched into its surface, glowing in a faint blue color.","The object is a small, irregularly shaped artifact, reminiscent of a distorted pyramid with multiple off-shooting tendrils. It is primarily black, but it seems to shimmer and shift with an array of colors when viewed from different angles. The surface is smooth and glossy, appearing almost liquid-like under certain light conditions."
Arrow,"This item is a thin, straight piece of wood with a pointed, metallic tip at one end and fletching at the other, typically made of feathers. It is designed to be launched from a bow, with the fletching providing stability during flight. The metallic tip is sharp and designed for penetration.","This object is a thin, straight stick with a pointed tip on one end and feathers at the other end. It's typically made of wood, with the tip often made of metal or stone.","The arrow object is a simple, straight, elongated object with a sharp pointed tip on one end and fletching on the other. It is primarily black in colour with a small portion of white at the fletching end. The arrow is thin, sharp and sleek, embodying its purpose as a projectile weapon in the game NetHack.","This object is a thin, straight line, culminating in a sharp point at one end and fletching at the other, typically depicted in a simplistic, 2D pixel art style. Its body is primarily black, while the fletching at the tail end is depicted in a lighter shade, often white or grey. The pointed head is also typically lighter than the body, often represented in a shade of grey."
Elven arrow,"This is a slender, elongated projectile with a sharp, gleaming point made from a mysterious, silver-like metal. The shaft is made of a polished, light-colored wood, adorned with intricate, flowing patterns reminiscent of leaves and vines. Its fletching is composed of three iridescent feathers, shimmering with shades of green and gold.","This is a slender, sharp-tipped projectile, made of polished wood and adorned with delicate, iridescent feathers at its tail end. It has intricate elvish engravings running along its shaft, adding to its ethereal aesthetic.","The Elven arrow is a slender, long object with a sharp pointed tip. It has a vibrant green color, symbolizing its elven origin. The arrow features delicate feather fletching at the end, and intricate elven designs along the shaft.","This object is a thin, elongated projectile with a pointed tip and fletching at the opposite end. It is predominantly silver in colour, with a hint of green running along the shaft. The fletching is made of white feathers, adding a contrasting touch to the overall appearance."
Orcish arrow,"This projectile weapon is characterized by its rough, dark iron head, which tapers to a wickedly sharp point. The shaft is carved from a sturdy, coarse-grained wood, adorned with primitive markings, and fletched with coarse black feathers. Despite its crude construction, there's an undeniable menace to its design.","This object is a short, rugged projectile with a pointed iron tip and fletching made from coarse, dark feathers. It has a rough, handcrafted appearance, with a shaft carved from dark wood.","The Orcish arrow is a short, pointed object with a sharp tip. It has a dark, almost black colour, with slight rough textures suggesting it's made from crude materials. The arrow features a simple fletching at its end, giving it a primitive, rugged appearance.","The object is a thin, elongated shape, tapering to a sharp point at one end and fletched at the other. It is primarily a dull, earthy brown colour, with darker, almost black, stripes or markings along its length. The fletching is a slightly lighter, more muted brown, appearing almost grey in certain lights."
Silver arrow,"This object is a sleek, metallic arrow with a sharp, pointed tip and a fletching at the end. It gleams with a lustrous silver hue, catching the light as it moves. Despite its elegant appearance, it looks deadly, designed for precision and speed.","This is a slender, pointed projectile made entirely of shiny, metallic silver, with fletching at one end and a sharp tip at the other. It's designed to be launched from a bow, glinting brightly as it catches the light.","The object is a sleek, arrow-shaped artifact with a sharp point, designed in a metallic silver color. It has detailed etchings running along its body, providing an ancient, mystical appearance. The arrow is imbued with a soft glow, signifying its magical properties.","This object appears as a sleek, elongated arrow, with a pointed tip and fletching at the opposite end. It is entirely silver in colour, reflecting light with a metallic sheen. The arrow is unadorned, without any additional features or embellishments."
Bamboo arrow,"This object is a long, slender shaft crafted from light, polished bamboo, tapering to a sharp point at one end. A notch is carved into the opposite end, where a few feathers are affixed to stabilize its flight when launched. The overall hue is a natural, warm tan with darker grain lines running lengthwise.","This object is a long, slender projectile made of light, polished bamboo, tapering to a sharp point at one end and featuring fletching at the other. Its simplicity belies its potential lethality.","The object is a bamboo arrow, long and slender, with a sharp pointed tip on one end and feather fletching on the other. It has a natural bamboo color, a blend of light and dark green hues. Notable features include the texture of bamboo and the distinct separation between the arrowhead, shaft, and fletching.","This object is a long, slender rod with a pointed tip on one end and fletching on the other, designed to be aerodynamic. It's made from a light beige material with visible segments, indicative of bamboo. The fletching is typically depicted as a set of two or three angled feathers, often in a contrasting colour such as white or grey."
Crossbow bolt,"This object is a slender, straight piece of metal or wood, tapering to a point at one end and featuring a notch at the other for engaging with a crossbow string. It's adorned with short, stabilizing fins near the notched end. The entire item is typically a foot to two feet in length.","This object is a slender, straight piece of metal with a pointed tip on one end and feather-like fletching on the other. It's designed to be lightweight yet sturdy, perfect for high-speed launch from a crossbow.","A Crossbow bolt from NetHack is a long, thin, straight object with a pointed tip and fletching at the end. It is primarily silver-grey, signifying metal, with the fletching being a contrasting white or light grey. The bolt is sleek and aerodynamic, suggesting its use as a high-speed projectile.","This object is a long, thin, straight rod with a pointed tip at one end and feather-like fletching at the other, typically represented in a monochrome shade of grey or white. It has a symmetrical design, with the pointed tip designed for piercing and the fletching for stability during flight. The object's overall form factor is slender and elongated, with no additional adornments or carried items."
Dart,"This small, lightweight projectile is characterized by a sharp, pointed tip designed for piercing, and feathered tail for stability during flight. It's typically made of a sturdy material like metal or wood. It's designed to be thrown or launched with precision at a target.","This object is a small, slender missile with a pointed tip and feathered tail, typically thrown by hand. It's typically metallic, lightweight and designed for accuracy.","A small, sharp object typically used for throwing, with a conical shape tapering to a point at one end and fletching at the other. It is predominantly black or dark grey in color. It is characterized by its light weight, aerodynamic design, and sharp point.","This object is small and elongated, with a pointed tip on one end and flights on the other to aid in aerodynamics. It is typically depicted in a simple, minimalist style, without any intricate details or embellishments. The object is usually represented in a monochromatic color scheme, often in shades of grey or black."
Shuriken,"A small, star-shaped object made of metal, with four to six sharp points radiating outwards. It's compact and flat, designed for easy concealment and aerodynamic throwing. Its metallic surface gleams coldly, promising danger in the hands of a skilled user.","This object is a small, star-shaped weapon with four to six sharp points. It's typically made of metal and is designed to be thrown or used in close combat.","A Shuriken is a small, star-shaped object with sharp edges, typically made of metal. It is primarily black or dark grey in colour. It has four points, each point having two sharp edges, making it look like a four-pointed star.","This object is a small, compact, star-shaped item with sharp edges and points. It has a metallic appearance, suggesting it is made from steel or a similar material, and it is predominantly silver in colour. The object is flat, with symmetrical features, and it lacks any sort of decoration or additional details."
Boomerang,"This object is a curved piece of wood, symmetrically shaped in a V-like form with a slight tilt at the ends. It is typically a deep brown color, showcasing the natural wood grain. Despite its simple design, it has a sleek and aerodynamic look, indicating its function to return to the thrower.","It's a curved, wooden object with two prongs that tapers to a point at each end, and it's designed to return to the thrower when thrown correctly. It's typically painted with simple, tribal-like patterns.","The boomerang object from NetHack is a thin, curved object with pointed ends. It is typically represented in a simplistic style with a brown colour to mimic wood. The boomerang is small and light, often depicted as being easy to throw or carry.","This object is crescent-shaped, mimicking the traditional Australian throwing tool. It is relatively small, fitting comfortably in the hand of a character. The colour of the object is a solid, earthy brown."
Spear,"This object is a long, slender pole weapon, tapering to a sharp point at one end, designed for thrusting or throwing. It's made of sturdy material, typically wood or metal, with a shiny, polished finish. The other end is often counterbalanced by a butt spike, giving it a symmetrical appearance.","This object is a long, slender pole weapon with a pointed, typically metal, head at one end. The other end is often capped with a butt spike, allowing for dual-ended combat.","A long, straight weapon with a pointed tip at one end, made of gleaming silver metal. It has a cylindrical shape with a slight taper towards the tip. The handle is wrapped in black leather for a firm grip.","This object is long and slender, tapering to a sharp point at one end. It has a cylindrical shape, appearing mostly straight with slight irregularities. The colour is a muted grey or silver, indicative of metal."
Elven spear,"This is a long, slender weapon with a finely pointed tip, crafted from a shimmering silver material that catches the light. Intricate, flowing designs are etched into the haft, reflecting the high craftsmanship of Elven make. The grip is wrapped in supple green leather, providing a stark contrast to the silver, and a small, elegant leaf motif is engraved near the base.","This is a long, slender weapon with a sharp point at one end, made from a gleaming silver metal and adorned with intricate, nature-inspired engravings. The handle is wrapped in finely crafted green leather, giving it a strong grip.","The Elven spear is a long, slender weapon with a sharp pointed tip. It has a vibrant emerald green hue, signifying its Elven origin. The spear's handle is intricately carved with elven symbols and patterns, adding to its elegant and mystical appearance.","The object is a long, slender pole weapon with a pointed, leaf-shaped blade at the end, exhibiting a distinctive, elegant design. It is primarily silver in colour, with intricate, swirling green patterns running along its length, highlighting its Elven origin. The handle is wrapped in a dark, forest-green leather, providing a stark contrast to the silver blade."
Orcish spear,"This weapon is a long, thick wooden shaft, roughly hewn and darkened with age, capped with a crude, jagged iron point. A series of notches, possibly denoting kills or victories, are carved into the handle. A few scraps of worn, faded red cloth are tied near the base, possibly remnants of a tribal banner or personal insignia.","This is a rough, primitive weapon, featuring a sharpened, jagged stone tip affixed to a sturdy wooden shaft. The spear is adorned with crude tribal markings, adding a touch of menace to its overall appearance.","The Orcish spear from NetHack is a long, pointed weapon with a broad, sharp tip. It has a deep green hue, typical of Orcish weaponry, and is made of sturdy, rugged material. It's designed for both thrusting and throwing, with a balanced weight distribution.","The object is a long, straight weapon with a pointed tip at one end, resembling a traditional spear. It is primarily a dark, earthy brown colour, indicative of a wooden shaft, with a dull grey, presumably metallic, point. There are subtle green accents along the shaft, suggesting some form of crude orcish decoration or mark of ownership."
Dwarvish spear,"This weapon is a robust, medium-length spear with a pointed, metallic head, exhibiting a distinct, intricate dwarven craftsmanship. The sturdy wooden shaft is adorned with ancient runic inscriptions, emanating a faint, magical glow. The spear's balance and heft suggest it's designed for both throwing and melee combat, reflecting the versatility of dwarven warfare.","This is a short, sturdy spear with a sharp, pointed iron tip and a thick wooden handle, adorned with intricate runic carvings. The weapon has a weathered look, indicative of frequent use and ancient craftsmanship.","The Dwarvish spear is a long, slender weapon with a sharp, pointed tip. It is primarily made of iron, giving it a dark grey or black color. It has intricate, rustic dwarvish designs etched along its shaft, adding a touch of uniqueness and history to it.","The object is a long, slender weapon with a sharp pointed tip at one end, resembling a traditional spear. It is primarily made of a dull grey metal, presumably iron or steel, and features intricate etchings along its length, indicative of Dwarvish craftsmanship. The handle part is wrapped in a dark, worn leather for a firm grip."
Silver spear,"This object is a long, slender weapon with a sharp, pointed tip gleaming with a metallic silver hue. The shaft is polished to a high shine, reflecting light with an almost mirror-like quality. Intricate designs are subtly etched into the surface, adding an element of elegance to its otherwise lethal appearance.","This object is a long, slender weapon made entirely of lustrous silver, with a sharp, pointed tip at one end and a rounded grip at the other. The shaft is smooth and straight, reflecting light with a soft glow.","A long, slender weapon with a sharp, pointed tip, the Silver Spear from NetHack should be depicted in a shiny, metallic silver color. It should be highly reflective, giving off a gleaming effect, with small intricate designs etched along its shaft. The handle is wrapped in a dark, leather-like material for contrast.","The object is a long, thin pole weapon with a pointed, leaf-shaped tip, all uniformly coloured in a shiny, metallic grey. Its length appears to be approximately four times the length of the spearhead. The spearhead itself is symmetrically shaped, tapering to a sharp point at the end."
Javelin,"This item is a long, slender pole typically made of wood or metal, tapering to a sharp point at one end. It has a balanced weight and is designed to be thrown by hand. The grip area is usually cord-wrapped for better handling.","This object is a long, slender rod, typically made of wood, with a sharp, pointed metal tip at one end. It's designed to be thrown and its aerodynamic shape allows it to travel great distances.","A javelin from the game NetHack is a long, thin object with a sharp, pointed tip at one end. It is primarily a solid silver-grey colour, with a metallic shine. It has a simple, sleek design, symbolizing its use as a lightweight, throwable weapon.","This object is a long, slender, straight rod-like structure with a pointed tip at one end, resembling a spear. It has a smooth surface and is primarily brown in colour, suggesting it is made of wood. Towards the pointed end, it may have a metallic hue, indicating a possible metal tip."
Trident,"This is a long, slender pole weapon, typically made of metal, with a pointed end designed for thrusting. Near the top, it splits into three sharp prongs, each evenly spaced and extending outwards, giving it the appearance of a three-pronged fork. The middle prong is usually slightly longer than the two on the sides.","This is a long, slender pole weapon with three sharp prongs at one end, resembling a large fork. The prongs are evenly spaced and extend outwards, typically used for stabbing or thrusting.","A three-pronged trident, made of gleaming silver metal, with a long, straight handle. It is designed with intricate details, giving it an ancient, mystical look. The trident is floating against a dark, moody background that contrasts with its metallic sheen.","The object is a three-pronged spear with a long, straight shaft. The prongs are evenly spaced at the top of the shaft, the middle prong being slightly longer than the two on either side. The entire object is a uniform metallic silver color."
Dagger,"This object is a short, double-edged blade with a pointed tip, ideal for stabbing and thrusting. Its handle is designed for a firm grip, often adorned with intricate carvings or inlays. Despite its small size, its gleaming steel surface suggests lethal potential.","This is a short, pointed weapon with a sharp edge on one side and a hilt, typically used for stabbing. It's made of metal, often appearing in a gleaming silver or dull gray color.","A short, pointed weapon with a sharp edge, similar to a knife but longer. It has a shiny silver metallic blade and a black or brown handle. The dagger is simple and sleek, with no additional decorations or embellishments.","This object is a small, slender weapon with a pointed, typically double-edged blade. It is primarily black in colour, with a slight metallic shine. The handle is straight and unadorned, with a slight tapering towards the end."
Elven dagger,"This object is a slender, lightweight dagger with a sharp, slightly curved blade that gleams with a silver hue. Its intricate handle, carved from fine wood, is adorned with delicate elven runes and a pommel shaped like a leaf. The overall design exudes an air of elegance and refinement, indicative of elven craftsmanship.","The object is a slim, double-edged dagger with a finely crafted blade that glows with a faint, ethereal light. Its hilt is adorned with intricate elven engravings and made from polished, dark wood.","A slim, elegant dagger with a long, slightly curved silver blade that tapers to a sharp point. The handle is intricately designed with elven motifs in a rich, golden hue. The overall design of the dagger showcases the fine craftsmanship and elegance associated with Elven weaponry in NetHack.","This object is a slender, short-bladed weapon, with a slightly curved blade that tapers to a sharp point. It is characterized by intricate, flowing designs etched into its silver blade, and a hilt wrapped in finely crafted, forest-green leather. The pommel is adorned with a small, polished emerald, adding a final touch of elegance to this finely crafted weapon."
Orcish dagger,"This small weapon features a jagged, slightly curved blade, crafted from a rough, dark metal that gives it a primitive, brutal look. The handle, made from the bone of some creature, is wrapped in worn leather for a better grip. Its overall appearance is crude and menacing, embodying the harsh culture of its creators.","This is a rugged, short-bladed weapon with a slightly curved, jagged edge, and a hilt wrapped in worn, dark leather. Its crude iron construction gives it a dull, grayish hue, while orcish runes etched along the blade add an air of menace.","The Orcish dagger is a short, curved weapon with a serrated edge. It has a dark grey, almost black colour, reflecting its crude iron make. The handle is wrapped in rough, brown leather, providing a stark contrast to the blade.","The object is a small, curved blade with a sharp point, resembling a scimitar but on a smaller scale, typically associated with a dagger. It has a rough, unpolished texture, indicative of orcish craftsmanship, with a dark, iron-grey colour. The handle is wrapped in coarse, dark leather, providing a stark contrast to the metallic sheen of the blade."
Silver dagger,"This object is a sleek, sharp blade forged from lustrous, pale silver metal. Its handle is wrapped in dark leather for a secure grip, and the hilt is adorned with intricate, swirling designs. Despite its beauty, the weapon's deadly sharp point and edges convey a sense of danger.","This is a short, slender blade forged from gleaming silver with a finely crafted handle. Despite its delicate appearance, it has a sharp, lethal edge and a sturdy construction.","A silver dagger from NetHack is a short, straight blade with a pointed tip, featuring a simple hilt. The entire dagger, including the blade and hilt, is made of gleaming, polished silver. It is characterized by its sleek, minimalist design and sharp edges.","This object is a short, slim weapon with a straight, double-edged blade that tapers to a sharp point. It has a small crossguard and a compact handle, both of which are unadorned. The entire piece is made of a gleaming, metallic silver."
Athame,"This object is a ceremonial double-edged dagger with a black handle, often adorned with various symbols or sigils. The blade is typically straight and narrow, tapering to a sharp point. It is small and compact, easy to handle and maneuver.","It's a small, double-edged dagger with a black handle, often decorated with symbols or sigils. Despite its size, it has a sharp point and is typically used in ritualistic settings.","An Athame from NetHack is a short, straight dagger with a black handle and a silver blade. It often emits a faint, mystical glow. The blade is sharp and thin, perfect for precise magical rituals.","This object is a small, handheld tool resembling a dagger with a double-edged blade, approximately 12 inches in length. The handle is black, likely made of ebony or a similar material, while the blade is silver, indicating it might be made of steel or a similar metal. There are no noticeable markings or embellishments on the object."
Scalpel,"This object is a small, sleek instrument with a sharp, thin blade made of polished steel. It has a short, rounded handle for a firm grip, typically made from stainless steel or plastic. The tool's overall design is compact and precise, intended for meticulous work.","This object is a small, sharp medical instrument with a slender, straight metal blade and a flat handle. It has a gleaming surface and a pointed tip, designed for precise cutting.","A scalpel from the game NetHack is a small, straight and sharp surgical tool. It has a metallic silver blade and a black handle. The defining characteristic is its thin, sharp blade which is used for precise cutting.","This object is a small, thin, metallic tool, typically silver or grey in colour. It has a sharp, straight edge at one end and a flat, cylindrical handle at the other. The handle is slightly longer than the blade, allowing for precise control."
Knife,"This is a small, sharp tool with a gleaming metallic blade that tapers to a pointed tip. Its handle, designed for a firm grip, is made of a darker material, possibly wood or plastic. Despite its simplicity, it carries a sense of danger and utility.","This object is a short, sharp-edged tool with a pointed tip and a handle, typically used for cutting or stabbing. It has a gleaming metallic blade and a dark, sturdy handle.","A small, sharp object with a straight, double-edged steel blade that tapers to a point. The handle is black and ergonomically designed for grip. Despite its simplicity, it looks menacing and ready for use.","This object is a short, thin rectangle with a pointed tip, representing a sharp edge. It has a smaller, perpendicular rectangle at one end, symbolizing a handle. The object is uniformly white, signifying its metallic nature."
Stiletto,"This item is a slender, sharp knife with a pointed, tapering blade, often associated with covert operations due to its concealable size. Its handle is typically wrapped in black leather for a firm grip, and the blade gleams with a polished metallic finish. Despite its small size, it looks incredibly lethal, embodying a perfect balance of elegance and danger.","This object is a slender, pointed knife with a blade that is typically around 1 to 2 inches wide and 7 to 9 inches long. It has a narrow, tapering handle that is often adorned with simple, unobtrusive designs.","The Stiletto object is a slender, sharp-pointed knife, typically used as a weapon, with a long, thin blade and a short handle. It is predominantly silver or metallic grey in color, with a black or dark-colored handle. The knife has a sleek, streamlined design, emphasizing its sharpness and lethal potential.","This object appears as a thin, tapered dagger with a pointed tip and a long, slender blade, typically depicted in a monochromatic shade of grey. It has a small, rounded handle for grip, often represented in a darker hue of grey or black. Despite its simplistic, pixelated representation, it gives off a sharp and lethal impression."
Worm tooth,"This item appears as a jagged, elongated tooth, roughly the size of a small dagger, with a dark, almost black coloration. Its surface is uneven and rugged, reflecting its organic origin. Despite its sharpness, it has a slightly worn look, as if it has been used or gnawed on.","This item resembles a long, curved, and pointed tooth, exhibiting a dark, almost black color. It has a smooth surface, appearing somewhat glossy, with slight ridges running along its length.","A Worm tooth in NetHack is a small, sharp, curved object, similar to a crescent moon in shape. It is predominantly white or off-white, with a slightly yellowish tinge. Its surface is smooth and glossy, reflecting light subtly.","This object is a small, curved, and pointed shape reminiscent of a crescent moon or a claw, with a slight texture that suggests a rough, organic surface. Its colour is a muted, earthy brown, similar to a root or branch. There are no additional features or adornments, making the object appear simple and unassuming."
Crysknife,"This object is a short, curved blade with a pointed tip, reminiscent of a large tooth or claw. It has a milky white, almost translucent appearance with a slight iridescence. The handle is unadorned, seemingly formed from the same single piece of material as the blade.","This object is a short, curved blade made from a glossy, translucent material with a milky white hue. It features a simple, unadorned hilt, making the knife appear both elegant and deadly.","The Crysknife is a short, curved dagger-like weapon, with a crystal-clear blade that glows with a faint blue hue. The hilt is made of a dark, rugged material, resembling ancient stone or bone. Notable features include the sharp, pointed tip of the blade and the intricate, tribal-like carvings on the hilt.","This object appears as a short, curved blade, resembling a small scimitar or large dagger, with a pointed tip and a single sharp edge. The entire weapon, including the hilt, is made from a translucent, crystalline material that has a milky white hue. Despite its delicate appearance, it gives off an aura of sturdiness and lethal precision."
Axe,"This object is a traditional hand tool, typically composed of a sturdy wooden handle, culminating in a sharp, wedge-shaped metal blade. The blade's edge is honed to a fine point, gleaming with lethal potential, while the opposite side extends into a blunt, flat back. The tool is designed for chopping, splitting, or cutting, with a balanced weight distribution that aids in efficient and forceful swings.","This is a short-handled tool with a sharp, metal, wedge-shaped head, traditionally used for chopping or splitting. The head is typically double-edged, mounted perpendicularly to the handle.","The axe object is a short, compact tool with a sharp, silver blade that curves to a point, and a sturdy brown handle. It is typically represented in a simple, pixelated style, as befits the 2D, top-down perspective of the game NetHack. The axe should appear solid and durable, indicative of its use in combat and resource gathering within the game.","The object is a straight-edged tool with a short, cylindrical handle that is typically brown. At the top end of the handle, there is a broad, double-edged blade with a curved bottom edge and sharp, pointed corners, typically depicted in a metallic grey or silver color. The blade is attached to the handle via a small, rectangular piece that mirrors the color of the blade."
